tbl,Year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,2017,2,34082,"Punta Gorda, FL",14082,PGD,31,274210,1,93.08,-0.5762,4,23240,1,76.14,-0.6674,27,250970,1,94.65,-0.5674,2017214082PGD
Table 7,2018,1,31834,"Fayetteville, AR",15919,XNA,48,200100,0.0791,329.31,0.439,15,81470,0,326.86,0.6321,33,118630,0.1334,331,0.3321,2018115919XNA
Table 7,2017,1,33198,"Kansas City, MO",13198,MCI,102,1712930,0.8894,213.96,0.3658,34,703110,0.8155,200.24,-1.8855,68,1009820,0.9409,223.52,1.8232,2017113198MCI
Table 7,2018,2,33256,"Mission/McAllen/Edinburg, TX",13256,MFE,32,107200,0.3423,275.1,0.0498,4,30100,0,260.87,0.0996,28,77100,0.4759,280.65,0.0329,2018213256MFE
Table 7,2018,2,30436,"Tucson, AZ",15376,TUS,79,624830,0.8545,241.14,-0.0147,11,173490,0.9796,176.65,-0.099,68,451340,0.8063,265.93,0.0094,2018215376TUS
Table 7,2018,1,30994,"Charleston, SC",10994,CHS,74,614000,0.6828,227.73,0.007,39,361550,0.6638,207.13,-0.0235,35,252450,0.7101,257.23,0.0446,2018110994CHS
Table 7,2018,1,30325,"Denver, CO",11292,DEN,154,6323930,0.9641,186.88,-0.0672,35,1536640,0.9452,163.74,-0.1026,119,4787290,0.9702,194.31,-0.0571,2018111292DEN
Table 7,2017,1,33195,"Tampa, FL (Metropolitan Area)",15304,TPA,132,3519540,0.931,196.71,-0.3259,32,578030,0.7634,190.43,-3.37,100,2941510,0.964,197.95,0.2712,2017115304TPA
Table 7,2018,2,32457,"San Francisco, CA (Metropolitan Area)",14831,SJC,164,2601690,0.9276,185.6,-0.0862,25,1615080,0.9902,138.75,-0.1615,139,986610,0.825,262.29,-0.0091,2018214831SJC
Table 7,2017,4,30852,"Washington, DC (Metropolitan Area)",12264,IAD,168,1894800,0.6167,247.03,0.1369,70,566780,0.3728,187.58,0.1822,98,1328020,0.7208,272.4,0.1242,2017412264IAD
Table 7,2017,4,33029,"Lincoln, NE",13029,LNK,16,23100,0,265.95,0.234,4,12220,0,244.98,0.448,12,10880,0,289.49,0.082,2017413029LNK
Table 7,2017,3,34614,"Salt Lake City, UT",14869,SLC,123,2735370,0.7682,208.85,0.0228,39,1409030,0.7402,154.93,-0.0657,84,1326340,0.7978,266.12,0.0865,2017314869SLC
Table 7,2017,2,30194,"Dallas/Fort Worth, TX",11259,DAL,139,2320300,0.9949,184.13,-0.0497,38,979440,0.9983,183.14,0.0165,101,1340860,0.9924,184.86,-0.0925,2017211259DAL
Table 7,2017,1,34761,"Sanford, FL",14761,SFB,64,492480,1,99.5,-56.0735,18,112040,1,83.43,-63.7265,46,380440,1,104.24,-53.7745,2017114761SFB
Table 7,2017,2,30562,"Mobile, AL",13422,MOB,35,63870,0,316.25,0.3534,8,24170,0,289.69,0.6186,27,39700,0,332.41,0.2452,2017213422MOB
Table 7,2017,2,30615,"El Paso, TX",11540,ELP,70,532460,0.8758,244.42,0.0333,19,295890,0.8877,206.98,0.0142,51,236570,0.8608,291.26,0.0509,2017211540ELP
Table 7,2017,2,30785,"Burlington, VT",10785,BTV,46,177090,0.5384,272.04,0.0998,11,71440,0.2762,193.1,0.0794,35,105650,0.7157,325.42,0.1083,2017210785BTV
Table 7,2018,1,31612,"Evansville, IN",11612,EVV,20,31780,0.1451,260,0.1934,10,22200,0.2077,240.57,0.2998,10,9580,0,305.03,0.0381,2018111612EVV
Table 7,2017,4,30436,"Tucson, AZ",15376,TUS,81,646810,0.8514,238.63,-0.0088,12,187750,0.9768,175.22,-0.0791,69,459060,0.8001,264.57,0.0121,2017415376TUS
Table 7,2017,3,30285,"Durango, CO",11413,DRO,22,39890,0,303.36,0.1623,8,22970,0,275.45,0.1503,14,16920,0,341.24,0.1758,2017311413DRO
Table 7,2017,1,32600,"Little Rock, AR",12992,LIT,59,277310,0.7893,255.3,6.4779,21,126810,0.613,239.78,7.3064,38,150500,0.9379,268.37,5.8625,2017112992LIT
Table 7,2018,1,33198,"Kansas City, MO",13198,MCI,103,1748290,0.8982,209.45,-0.019,35,727420,0.8331,194.47,-0.0344,68,1020870,0.9445,220.13,-0.0091,2018113198MCI
Table 7,2017,3,30627,"Bismarck/Mandan, ND",10627,BIS,31,72640,0.6571,219.19,-0.105,4,22620,0.5128,210.16,0.0885,27,50020,0.7223,223.27,-0.1679,2017310627BIS
Table 7,2018,1,30620,"Billings, MT",10620,BIL,31,93280,0.2442,233.15,-0.0374,5,34490,0,236.37,0.016,26,58790,0.3875,231.26,-0.0668,2018110620BIL
Table 7,2018,1,30397,"Atlanta, GA (Metropolitan Area)",10397,ATL,159,6270140,0.782,207.33,0.0928,95,3699870,0.7056,186.38,0.0576,64,2570270,0.892,237.47,0.1354,2018110397ATL
Table 7,2017,2,31995,"Greensboro/High Point, NC",11995,GSO,61,284050,0.1182,258.09,0.0976,38,202210,0.0373,230.96,0.0975,23,81840,0.3183,325.11,0.0976,2017211995GSO
Table 7,2018,1,33667,"Norfolk, VA (Metropolitan Area)",13931,ORF,84,505780,0.6931,248.46,0.0252,44,264330,0.6091,213.27,-0.0207,40,241450,0.7851,286.98,0.0659,2018113931ORF
Table 7,2017,3,30713,"Boise, ID",10713,BOI,69,660580,0.6868,198.66,-0.0919,22,453700,0.629,158.7,-0.1558,47,206880,0.8134,286.31,0.0002,2017310713BOI
Table 7,2017,1,30785,"Burlington, VT",10785,BTV,43,156260,0.6307,246.12,3.6706,11,58380,0.3107,185.89,9.0557,32,97880,0.8216,282.05,1.6966,2017110785BTV
Table 7,2018,2,30279,"Amarillo, TX",10279,AMA,33,102140,0.7805,237.01,0.0628,8,61460,0.7143,218.99,0.2052,25,40680,0.8805,264.25,-0.0741,2018210279AMA
Table 7,2018,1,34321,"Portland, ME",14321,PWM,52,232130,0.7567,221.69,-0.0546,14,81310,0.4544,173.38,-0.0482,38,150820,0.9197,247.74,-0.057,2018114321PWM
Table 7,2018,1,30721,"Boston, MA (Metropolitan Area)",10721,BOS,127,5075270,0.9368,202.97,-0.0832,32,1467020,0.9798,153.79,-0.0518,95,3608250,0.9193,222.97,-0.0917,2018110721BOS
Table 7,2017,1,31637,"Fargo, ND",11637,FAR,36,119530,0.4462,248.92,-1.7859,5,13680,0,342.72,81.4013,31,105850,0.5038,236.8,-9.5447,2017111637FAR
Table 7,2017,4,33667,"Norfolk, VA (Metropolitan Area)",13931,ORF,91,672210,0.6816,243.75,0.0311,48,357240,0.5818,208.1,-0.0024,43,314970,0.7948,284.19,0.0607,2017413931ORF
Table 7,2017,4,31503,"Eagle, CO",11503,EGE,15,29320,0,441.72,0.7578,5,9250,0,367.76,0.5523,10,20070,0,475.8,0.8448,2017411503EGE
Table 7,2018,2,31003,"Cedar Rapids/Iowa City, IA",11003,CID,45,185200,0.4905,241.82,0.0086,8,60740,0.2945,245.78,0.0698,37,124460,0.5861,239.89,-0.0194,2018211003CID
Table 7,2017,2,31638,"Fresno, CA",11638,FAT,43,196660,0.0932,269.86,0.015,10,103140,0.1777,186.7,-0.106,33,93520,0,361.59,0.0998,2017211638FAT
Table 7,2017,1,30868,"Columbia, SC",10868,CAE,52,145650,0,272.3,8.1767,27,82040,0,248.57,7.3771,25,63610,0,302.92,9.0361,2017110868CAE
Table 7,2017,3,32945,"Lexington, KY",12945,LEX,45,144920,0.2878,244.48,0.1048,22,87750,0.2814,223.8,0.1026,23,57170,0.2977,276.22,0.1076,2017312945LEX
Table 7,2017,2,30868,"Columbia, SC",10868,CAE,49,139170,0,298.82,0.1866,24,81710,0,264.07,0.1516,25,57460,0,348.23,0.2268,2017210868CAE
Table 7,2017,3,30928,"Wichita, KS",12278,ICT,57,260070,0.7292,229.62,-0.004,13,76880,0.2893,234.06,0.1628,44,183190,0.9139,227.76,-0.062,2017312278ICT
Table 7,2017,3,33541,"Martha's Vineyard, MA",13541,MVY,7,30580,1,218.42,0.5626,7,30580,1,218.42,0.5626,,,,,,2017313541MVY
Table 7,2018,2,32547,"Rochester, MN",14633,RST,18,26190,0,256.2,0.0782,2,4700,0,266.52,4.256,16,21490,0,253.94,-0.0882,2018214633RST
Table 7,2017,1,34489,"Bend/Redmond, OR",14489,RDM,26,81400,0,202.17,-15.3743,7,39440,0,178.4,-21.0776,19,41960,0,224.51,-10.5461,2017114489RDM
Table 7,2017,1,34057,"Portland, OR",14057,PDX,106,2500480,0.7921,184.7,-11.5394,20,709250,0.5877,141.81,-11.6243,86,1791230,0.873,201.69,-11.5158,2017114057PDX
Table 7,2018,1,35356,"Trenton, NJ",15356,TTN,9,76580,1,96.44,-0.5566,2,8650,1,85.12,-0.6394,7,67930,1,97.89,-0.545,2018115356TTN
Table 7,2018,2,31986,"Grand Rapids, MI",11986,GRR,74,548490,0.6986,232.79,0.0102,33,208220,0.4079,234.23,0.056,41,340270,0.8764,231.9,-0.0162,2018211986GRR
Table 7,2018,1,32280,"Idaho Falls, ID",12280,IDA,7,19200,0.6797,195.03,-0.1661,4,17270,0.7556,164.56,-0.2538,3,1930,0,467.63,0.3245,2018112280IDA
Table 7,2017,3,31057,"Charlotte, NC",11057,CLT,126,2618560,0.4292,236.81,0.2289,81,1739440,0.3589,215.49,0.2415,45,879120,0.5682,278.99,0.2101,2017311057CLT
Table 7,2017,2,33198,"Kansas City, MO",13198,MCI,107,2088480,0.897,215.1,0.0031,36,852130,0.8269,197.74,-0.0392,71,1236350,0.9452,227.07,0.0304,2017213198MCI
Table 7,2017,4,33360,"Melbourne, FL",13360,MLB,19,33050,0,214.93,-0.1304,2,13950,0,201.03,-0.1188,17,19100,0,225.08,-0.1378,2017413360MLB
Table 7,2018,2,31454,"Orlando, FL",13204,MCO,147,7164420,0.9669,179.31,-0.1341,34,889680,0.8498,172.96,-0.1095,113,6274740,0.9834,180.21,-0.1374,2018213204MCO
Table 7,2017,1,30434,"Scranton/Wilkes-Barre, PA",10434,AVP,24,56770,0.2116,210.14,-15.8319,4,10730,0,251.53,18.0654,20,46040,0.2609,200.49,-22.3503,2017110434AVP
Table 7,2018,1,32441,"Jackson, WY",12441,JAC,34,92890,0,412.93,0.5634,6,15890,0,384.4,0.5532,28,77000,0,418.82,0.5654,2018112441JAC
Table 7,2018,1,33342,"Milwaukee, WI",13342,MKE,85,1238240,0.862,193.37,-0.0998,29,299270,0.6827,199.74,-0.0579,56,938970,0.9192,191.33,-0.113,2018113342MKE
Table 7,2017,3,32547,"Rochester, MN",14633,RST,13,18870,0,248.85,0.2198,2,5450,0,277.31,4.5438,11,13420,0,237.3,-0.1098,2017314633RST
Table 7,2017,4,30431,"Asheville, NC",10431,AVL,45,167410,0.5113,199.68,-0.127,23,124990,0.6848,161.56,-0.2296,22,42420,0,312,0.0958,2017410431AVL
Table 7,2017,2,33158,"Midland/Odessa, TX",13158,MAF,38,166160,0.8057,277.77,0.2532,11,117840,0.7576,268.29,0.3427,27,48320,0.923,300.87,0.0946,MAF 2017213158.00
Table 7,2017,2,31624,"Key West, FL",11624,EYW,41,101540,0.1249,302.38,0.284,4,19510,0,246.95,0.1315,37,82030,0.1546,315.57,0.317,2017211624EYW
Table 7,2017,4,34321,"Portland, ME",14321,PWM,60,339030,0.687,226.05,0.0142,18,143380,0.4823,179.1,0.0665,42,195650,0.8371,260.45,-0.0103,2017414321PWM
Table 7,2017,2,30599,"Birmingham, AL",10599,BHM,69,475140,0.7484,272.49,0.1262,39,304880,0.6869,248.94,0.0723,30,170260,0.8585,314.67,0.2126,2017210599BHM
Table 7,2018,2,33667,"Norfolk, VA (Metropolitan Area)",14098,PHF,89,88150,0,277.82,0.1181,43,42920,0,250.02,0.0811,46,45230,0,304.19,0.1488,2018214098PHF
Table 7,2018,1,32575,"Los Angeles, CA (Metropolitan Area)",12954,LGB,141,723500,0.9649,120.72,-0.3336,20,519080,0.9623,98.14,-0.3758,121,204420,0.9716,178.09,-0.2641,2018112954LGB
Table 7,2017,3,33198,"Kansas City, MO",13198,MCI,107,2075960,0.9031,203.51,-0.0005,35,867710,0.833,182.31,-0.0599,72,1208250,0.9534,218.73,0.0387,2017313198MCI
Table 7,2017,1,33105,"Cincinnati, OH",11193,CVG,79,980590,0.555,223.46,8.2314,40,374280,0.2581,248.54,33.4714,39,606310,0.7383,207.97,-5.0195,2017111193CVG
Table 7,2017,3,33342,"Milwaukee, WI",13342,MKE,88,1331500,0.904,196.29,-0.0449,32,390920,0.8319,205.62,-0.0339,56,940580,0.9339,192.42,-0.0497,2017313342MKE
Table 7,2017,4,30868,"Columbia, SC",10868,CAE,53,173740,0,264.63,0.0886,29,102510,0,242.35,0.077,24,71230,0,296.7,0.1024,2017410868CAE
Table 7,2018,1,34794,"St. George, UT",14794,SGU,8,23800,0,157.38,-0.0119,8,23800,0,157.38,-0.0119,,,,,,2018114794SGU
Table 7,2018,2,33195,"Tampa, FL (Metropolitan Area)",15304,TPA,131,3706860,0.9326,197.35,-0.0241,33,622010,0.7632,191.92,-0.0243,98,3084850,0.9667,198.44,-0.024,2018215304TPA
Table 7,2017,4,34685,"Savannah, GA",14685,SAV,69,417910,0.3803,238.6,0.1235,25,127320,0.2574,237.37,0.0939,44,290590,0.4341,239.14,0.1368,2017414685SAV
Table 7,2017,1,32467,"Miami, FL (Metropolitan Area)",11697,FLL,153,4543020,0.9632,174.6,-15.2196,31,524350,0.8643,149.95,-17.9704,122,4018670,0.9761,177.81,-14.9057,2017111697FLL
Table 7,2017,1,34236,"Paso Robles/San Luis Obispo, CA",14698,SBP,16,32790,0,234.01,-2.7012,5,17320,0,171.18,-7.7817,11,15470,0,304.35,0.7956,2017114698SBP
Table 7,2017,4,30397,"Atlanta, GA (Metropolitan Area)",10397,ATL,164,7337410,0.7585,201.92,0.0766,97,4238240,0.6852,178.22,0.0218,67,3099170,0.8588,234.33,0.1401,2017410397ATL
Table 7,2017,1,30792,"Buffalo, NY",10792,BUF,64,756920,0.8552,188.78,-10.7768,29,298430,0.7125,167.73,-8.2878,35,458490,0.9481,202.47,-12.0637,2017110792BUF
Table 7,2017,4,30693,"Nashville, TN",10693,BNA,108,2443170,0.8404,215.62,0.069,60,1340640,0.809,202.44,0.0445,48,1102530,0.8786,231.65,0.0963,2017410693BNA
Table 7,2018,1,30685,"Bloomington/Normal, IL",10685,BMI,10,29370,0.4951,176.29,-0.2365,2,9650,0,258.07,0.3954,8,19720,0.7373,136.27,-0.4622,2018110685BMI
Table 7,2017,3,33570,"San Diego, CA",14679,SAN,136,4291670,0.947,201.3,-0.0705,20,1441530,0.955,137.47,-0.1802,116,2850140,0.9429,233.58,-0.0319,2017314679SAN
Table 7,2017,4,30476,"Shreveport, LA",14814,SHV,30,58070,0.1719,282.33,0.1513,6,14080,0,293.23,0.378,24,43990,0.2269,278.84,0.0909,2017414814SHV
