tbl,Year,quarter,citymarketid,city,markets,cur_passengers,cur_fare,cur_yield,distance,ly_passengers,ly_fare,ly_yield,ly_distance,Geocoded_City,tbl2pk
Table 2,2017,1,34570,"Reno, NV",12,463060,188.47,25.95,726.3,416250,191.34,24.18,791.2,"Reno, NV
(30.177159, -95.162771)",2017134570
Table 2,2017,1,34524,"Richmond, VA",10,316710,224.02,26.16,856.4,310450,220.2,26.57,828.6,"Richmond, VA
(37.540759, -77.433932)",2017134524
Table 2,2017,1,34492,"Raleigh/Durham, NC",27,1466600,200.75,22.23,902.9,1373990,211.98,22.22,954,"Raleigh/Durham, NC
(42.673348, -72.179683)",2017134492
Table 2,2017,1,34262,"Palm Springs, CA",8,298390,216.41,18.96,1141.3,294710,214.61,19.32,1110.7,"Palm Springs, CA
(33.830302, -116.546843)",2017134262
Table 2,2017,1,34100,"Philadelphia, PA",39,2915700,218.9,18.6,1176.9,3023060,214,18.32,1167.9,"Philadelphia, PA
(39.951061, -75.16562)",2017134100
Table 2,2017,1,34057,"Portland, OR",33,2234350,174.94,15.54,1125.7,2070910,184.45,16.05,1149.1,"Portland, OR
(45.516018, -122.681425)",2017134057
Table 2,2017,1,34027,"West Palm Beach/Palm Beach, FL",17,1217340,197.85,18.74,1056,1255640,202.52,19.07,1062,"West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)",2017134027
Table 2,2017,1,33851,"Oklahoma City, OK",13,328820,233.63,25.33,922.5,329550,229.8,24.74,929,"Oklahoma City, OK
(35.468494, -97.521264)",2017133851
Table 2,2017,1,33667,"Norfolk, VA (Metropolitan Area)",11,265120,247.23,21.55,1147.4,251370,250.34,21.68,1154.7,"Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)",2017133667
Table 2,2017,1,33570,"San Diego, CA",42,3065070,215.32,17.1,1259.5,3004210,211.96,16.65,1273,"San Diego, CA
(32.71576, -117.163817)",2017133570
Table 2,2017,1,33495,"New Orleans, LA",32,1825710,210.37,20.83,1009.7,1733220,205.03,20.53,998.6,"New Orleans, LA
(29.950621, -90.074948)",2017133495
Table 2,2017,1,33342,"Milwaukee, WI",22,1006250,192.56,17.36,1109.2,1035890,192.85,17.27,1116.4,"Milwaukee, WI
(43.041072, -87.909421)",2017133342
Table 2,2017,1,33316,"Omaha, NE",17,515660,212.09,21.13,1003.8,500570,218.13,21.37,1020.9,"Omaha, NE
(46.07035, -93.666319)",2017133316
Table 2,2017,1,33244,"Memphis, TN",16,464930,226.44,25.47,889,437840,225.58,24.53,919.7,"Memphis, TN
(35.143378, -90.052136)",2017133244
Table 2,2017,1,33214,"San Antonio, TX",27,1104230,236.97,22.59,1048.9,1067800,230.26,21.8,1056.1,"San Antonio, TX
(29.425173, -98.494599)",2017133214
Table 2,2017,1,33198,"Kansas City, MO",32,1491360,208.24,22.28,934.8,1430670,215.17,22.71,947.4,"Kansas City, MO
(39.099792, -94.578559)",2017133198
Table 2,2017,1,33195,"Tampa, FL (Metropolitan Area)",52,3482320,188.12,17.6,1068.8,3473100,184.65,17.21,1072.6,"Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",2017133195
Table 2,2017,1,33192,"Sacramento, CA",21,1408070,189.67,21.91,865.6,1381890,188,21.52,873.5,"Sacramento, CA
(38.582087, -121.50012)",2017133192
Table 2,2017,1,33105,"Cincinnati, OH",21,791160,213.39,22.07,967,705360,244.12,25.73,948.8,"Cincinnati, OH
(39.104427, -84.513808)",2017133105
Table 2,2017,1,33044,"Louisville, KY",12,296120,237.38,27.09,876.2,315830,230.97,25.94,890.6,"Louisville, KY
(38.256078, -85.751569)",2017133044
